county,state_full,cumulative_cases,State,county_pop,percent_cases
Roseau,Minnesota,5101,MN,15292.0,0.3335731101229401
Sibley,Minnesota,4307,MN,14955.0,0.28799732530926114
Stevens,Minnesota,3346,MN,9637.0,0.3472034865622082
Swift,Minnesota,2741,MN,9755.0,0.28098411071245516
Todd,Minnesota,8591,MN,25538.0,0.33640065784321405
Waseca,Minnesota,6404,MN,18893.0,0.3389615201397343
Attala,Mississippi,6893,MS,17509.0,0.393683248614998
Clarke,Mississippi,4913,MS,15271.0,0.32172090891231747
Covington,Mississippi,8790,MS,18098.0,0.4856890264117582
Franklin,Mississippi,2383,MS,7642.0,0.311829364040827
Grenada,Mississippi,6500,MS,21088.0,0.3082321699544765
Harrison,Mississippi,66683,MS,211044.0,0.31596728644263755
Jefferson Davis,Mississippi,3709,MS,11088.0,0.33450577200577203
Jones,Mississippi,26729,MS,66569.0,0.4015232315341976
Lawrence,Mississippi,4587,MS,11713.0,0.3916161529924016
Marion,Mississippi,8872,MS,24050.0,0.3688981288981289
Montgomery,Mississippi,3730,MS,9530.0,0.391395592864638
Noxubee,Mississippi,3651,MS,9990.0,0.3654654654654655
Pearl River,Mississippi,17966,MS,57261.0,0.3137563088314909
Perry,Mississippi,3807,MS,11368.0,0.33488740323715693
Pontotoc,Mississippi,12987,MS,31389.0,0.4137436681640065
Quitman,Mississippi,1843,MS,5701.0,0.3232766181371689
Rankin,Mississippi,47543,MS,158979.0,0.29905207606036016
Sharkey,Mississippi,1179,MS,3488.0,0.33801605504587157
Warren,Mississippi,12897,MS,42649.0,0.3023986494407841
Yalobusha,Mississippi,4856,MS,12364.0,0.3927531543189906
Andrew,Missouri,5714,MO,18003.0,0.31739154585346885
Atchison,Missouri,1823,MO,5182.0,0.35179467387109226
Barry,Missouri,8036,MO,34926.0,0.23008646853347076
Barton,Missouri,3421,MO,11694.0,0.29254318453907985
Cedar,Missouri,3855,MO,14601.0,0.2640230121224574
Clay,Missouri,33913,MO,257033.0,0.13194025669855622
Clinton,Missouri,5812,MO,21328.0,0.27250562640660164
Cole,Missouri,24491,MO,76969.0,0.31819303875586274
Cooper,Missouri,4822,MO,16772.0,0.28750298115907463
Dade,Missouri,1848,MO,7660.0,0.2412532637075718
Gentry,Missouri,2636,MO,6253.0,0.4215576523268831
Harrison,Missouri,2483,MO,8199.0,0.3028418099768264
Henry,Missouri,7143,MO,22438.0,0.3183438809163027
Jackson,Missouri,260908,MO,716531.0,0.36412660443162964
Knox,Missouri,1217,MO,3776.0,0.3222987288135593
Linn,Missouri,3173,MO,11820.0,0.26844331641285957
McDonald,Missouri,6252,MO,23588.0,0.26505002543666273
Macon,Missouri,4311,MO,15049.0,0.2864642168914878
Marion,Missouri,9934,MO,28438.0,0.34932133061396725
Nodaway,Missouri,7336,MO,20670.0,0.3549104983067247
Osage,Missouri,3839,MO,13399.0,0.28651391894917533
Ozark,Missouri,2052,MO,8940.0,0.2295302013422819
Randolph,Missouri,7232,MO,24622.0,0.29372106246446267
Ray,Missouri,6265,MO,23107.0,0.27112996061799455
St. Clair,Missouri,2638,MO,9576.0,0.27548036758563077
Saline,Missouri,7273,MO,23007.0,0.3161211805102795
Big Horn,Montana,5891,MT,12851.0,0.4584079059995331
Fallon,Montana,799,MT,3011.0,0.26536034540019926
Flathead,Montana,34161,MT,111814.0,0.3055163038617704
Judith Basin,Montana,289,MT,2105.0,0.13729216152019003
Liberty,Montana,530,MT,1972.0,0.268762677484787
Lincoln,Montana,5753,MT,21525.0,0.2672706155632985
Meagher,Montana,600,MT,2013.0,0.29806259314456035
Ravalli,Montana,8686,MT,47298.0,0.18364412871580194
Roosevelt,Montana,4102,MT,10572.0,0.38800605372682556
Rosebud,Montana,3134,MT,8088.0,0.38748763600395647
Sweet Grass,Montana,923,MT,3715.0,0.2484522207267833
Wheatland,Montana,469,MT,2032.0,0.23080708661417323
Wibaux,Montana,249,MT,919.0,0.27094668117519044
Yellowstone,Montana,52207,MT,169852.0,0.30736759060829427
Antelope,Nebraska,1330,NE,6293.0,0.21134593993325917
Boone,Nebraska,1316,NE,5385.0,0.24438254410399257
Butler,Nebraska,2354,NE,8427.0,0.27934021597246944
Douglas,Nebraska,182199,NE,586327.0,0.3107463923714924
Fillmore,Nebraska,1336,NE,5553.0,0.24059067170898613
Franklin,Nebraska,515,NE,2873.0,0.17925513400626522
Hayes,Nebraska,109,NE,849.0,0.12838633686690223
Hitchcock,Nebraska,638,NE,2598.0,0.2455735180908391
Lancaster,Nebraska,96155,NE,324756.0,0.2960838290901477
Lincoln,Nebraska,11002,NE,33685.0,0.32661421997921924
Morrill,Nebraska,1364,NE,4527.0,0.3013032913629335
Pawnee,Nebraska,525,NE,2528.0,0.2076740506329114
Platte,Nebraska,10471,NE,34296.0,0.30531257289479824
Sarpy,Nebraska,59770,NE,196553.0,0.3040910085320499
Sioux,Nebraska,81,NE,1127.0,0.07187222715173026
Valley,Nebraska,892,NE,4073.0,0.2190031917505524
Esmeralda,Nevada,124,NV,744.0,0.16666666666666666
Lander,Nevada,1362,NV,5766.0,0.23621227887617066
Lincoln,Nevada,707,NV,4482.0,0.15774207942882643
Lyon,Nevada,12384,NV,61585.0,0.2010879272550134
Storey,Nevada,205,NV,4170.0,0.049160671462829736
Washoe,Nevada,129821,NV,496745.0,0.26134334517710295
Carroll,New Hampshire,12453,NH,52199.0,0.23856778865495507
Cheshire,New Hampshire,19354,NH,77350.0,0.25021331609566905
Hillsborough,New Hampshire,122511,NH,426594.0,0.28718406728645973
Burlington,New Jersey,142965,NJ,466103.0,0.30672405026356836
Camden,New Jersey,170734,NJ,524907.0,0.32526523746111213
Ocean,New Jersey,217776,NJ,655735.0,0.33210976995280106
Somerset,New Jersey,99099,NJ,346875.0,0.2856908108108108
Colfax,New Mexico,2869,NM,12246.0,0.23428058141433938
Eddy,New Mexico,19404,NM,60400.0,0.32125827814569535
Hidalgo,New Mexico,1352,NM,4003.0,0.3377466899825131
Lincoln,New Mexico,6666,NM,20411.0,0.3265886041840184
McKinley,New Mexico,34262,NM,69830.0,0.49064871831591006
Santa Fe,New Mexico,40890,NM,155664.0,0.26268115942028986
Taos,New Mexico,7341,NM,34580.0,0.21229034123770965
Union,New Mexico,963,NM,3980.0,0.24195979899497488
